line_text,speaker_id
All right Jim. Your quarterlies look very good. How are things at the library?,1
"Oh, I told you. I couldn't close it. So...",3
"So you've come to the master for guidance? Is this what you're saying, grasshopper?",1
"Actually, you called me in here, but yeah.",3
"All right. Well, let me show you how it's done.",1
"[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",1
"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?",1
Well. I don't know.,4
"If you think she's cute now, you should have seen her a couple of years ago. [growls]",1
What?,4
Any messages?,1
"Uh, yeah. Just a fax.",4
"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",1
You haven't told me.,4
It's called the wastepaper basket! Look at that! Look at that face.,1
"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",1
[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],2
"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",3
Whassup!,1
Whassup! I still love that after seven years.,3
Whassup!,1
Whassup!,2
Whass...up!,1
Whassup.,2
"[Strains, grunts] What?",1
Nothing.,3
OK. All right. See you later.,1
All right. Take care.,3
Back to work.,1
[on her cell phone] Just before lunch. That would be great.,14
"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",1
"Alright, was there anything you wanted to add to the agenda?",14
Um... Me no get an agenda.,1
What? I'm sorry?,14
I didn't get any agenda.,1
"Well, I faxed one over to you this morning.",14
Really? I didn't... [looks at Pam] Did we get a fax this morning?,1
"Uh, yeah, the one...",4
"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",1
You put in the garbage can that was a special filing cabinet.,4
"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",1
Do you want to look at mine?,14
"Yeah, yeah. Lovely. Thank you.",1
"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",14
OK...,1
"Michael, don't panic.",14
"No, no, no, no, this is good. This is good. This is fine. Excellent.",1
"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",14
All the alarm bells are kind of going... ringie-dingie-ding!,1
I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,14
OK. No problem.,1
"This does, however, mean that there is going to be downsizing.",14
"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",1
"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",1
Go ahead.,14
Packman.,1
"Hey, you big queen.",16
